Datetime,Discharge
2019-06-17 01:30,4020
2019-06-17 01:45,4030
2019-06-17 02:00,4020
2019-06-17 02:15,4000
2019-06-17 02:30,4060
2019-06-17 02:45,4000
2019-06-17 03:00,3990
2019-06-17 03:15,3990
2019-06-17 03:30,3960
2019-06-17 03:45,3970
2019-06-17 04:00,3970
2019-06-17 04:15,3940
2019-06-17 04:30,4000
2019-06-17 04:45,3990
2019-06-17 05:00,3940
2019-06-17 05:15,3960
2019-06-17 05:30,3930
2019-06-17 05:45,3960
2019-06-17 06:00,3930
2019-06-17 06:15,3960
2019-06-17 06:30,3940
2019-06-17 06:45,3940
2019-06-17 07:00,3960
2019-06-17 07:15,3910
2019-06-17 07:30,3870
2019-06-17 07:45,3880
2019-06-17 08:00,3940
2019-06-17 08:15,3960
2019-06-17 08:30,3970
2019-06-17 08:45,3960
2019-06-17 09:00,3960
2019-06-17 09:15,3970
2019-06-17 09:30,4020
2019-06-17 09:45,3990
2019-06-17 10:00,4030
2019-06-17 10:15,4050
2019-06-17 10:30,4030
2019-06-17 10:45,4050
2019-06-17 11:00,4020
2019-06-17 11:15,4060
2019-06-17 11:30,4080
2019-06-17 11:45,4030
2019-06-17 12:00,4000
2019-06-17 12:15,3990
2019-06-17 12:30,4080
2019-06-17 12:45,4140
2019-06-17 13:00,4120
2019-06-17 13:15,4150
2019-06-17 13:30,4150
2019-06-17 13:45,4110
2019-06-17 14:00,4120
2019-06-17 14:15,4170
2019-06-17 14:30,4060
2019-06-17 14:45,4140
2019-06-17 15:00,4180
2019-06-17 15:15,4050
2019-06-17 15:30,4150
2019-06-17 15:45,4030
2019-06-17 16:00,4150
2019-06-17 16:15,4140
2019-06-17 16:30,4120
2019-06-17 16:45,4120
2019-06-17 17:00,4140
2019-06-17 17:15,4110
2019-06-17 17:30,4140
2019-06-17 17:45,4030
2019-06-17 18:00,4090
2019-06-17 18:15,4030
2019-06-17 18:30,4110
2019-06-17 18:45,4110
2019-06-17 19:00,4090
2019-06-17 19:15,4110
2019-06-17 19:30,4060
2019-06-17 19:45,4110
2019-06-17 20:00,4110
2019-06-17 20:15,4060
2019-06-17 20:30,4090
2019-06-17 20:45,3970
2019-06-17 21:00,4040
2019-06-17 21:15,4030
2019-06-17 21:30,4040
2019-06-17 21:45,4030
2019-06-17 22:00,4060
2019-06-17 22:15,4010
2019-06-17 22:30,4040
2019-06-17 22:45,4030
2019-06-17 23:00,4040
2019-06-17 23:15,4060
2019-06-17 23:30,4000
2019-06-17 23:45,4000
2019-06-18 00:00,4000
2019-06-18 00:15,4000
2019-06-18 00:30,3970
2019-06-18 00:45,3970
2019-06-18 01:00,4010
2019-06-18 01:15,3940
2019-06-18 01:30,3980
2019-06-18 01:45,3940
2019-06-18 02:00,3940
2019-06-18 02:15,3970
2019-06-18 02:30,3940
2019-06-18 02:45,3950
2019-06-18 03:00,3940
2019-06-18 03:15,3940
2019-06-18 03:30,3940
2019-06-18 03:45,3910
2019-06-18 04:00,3910
2019-06-18 04:15,3920
2019-06-18 04:30,3890
2019-06-18 04:45,3880
2019-06-18 05:00,3910
2019-06-18 05:15,3880
2019-06-18 05:30,3890
2019-06-18 05:45,3910
2019-06-18 06:00,3890
2019-06-18 06:15,3860
2019-06-18 06:30,3860
2019-06-18 06:45,3800
2019-06-18 07:00,3880
2019-06-18 07:15,3880
2019-06-18 07:30,3850
2019-06-18 07:45,3880
2019-06-18 08:00,3880
2019-06-18 08:15,3850
2019-06-18 08:30,3800
2019-06-18 08:45,3830
2019-06-18 09:00,3880
2019-06-18 09:15,3890
2019-06-18 09:30,3830
2019-06-18 09:45,3860
2019-06-18 10:00,3860
2019-06-18 10:15,3890
2019-06-18 10:30,3880
2019-06-18 10:45,3910
2019-06-18 11:00,3890
2019-06-18 11:15,3890
2019-06-18 11:30,3920
2019-06-18 11:45,3950
2019-06-18 12:00,3920
2019-06-18 12:15,3940
2019-06-18 12:30,3920
2019-06-18 12:45,3970
2019-06-18 13:00,3920
2019-06-18 13:15,3980
2019-06-18 13:30,3890
2019-06-18 13:45,4010
2019-06-18 14:00,3970
2019-06-18 14:15,4030
2019-06-18 14:30,3940
2019-06-18 14:45,3920
2019-06-18 15:00,3970
2019-06-18 15:15,4010
2019-06-18 15:30,3950
2019-06-18 15:45,3980
2019-06-18 16:00,3970
2019-06-18 16:15,3970
2019-06-18 16:30,3950
2019-06-18 16:45,3960
2019-06-18 17:00,3960
2019-06-18 17:15,3930
2019-06-18 17:30,3980
2019-06-18 17:45,3950
2019-06-18 18:00,3950
2019-06-18 18:15,3950
2019-06-18 18:30,3950
2019-06-18 18:45,3930
2019-06-18 19:00,3920
2019-06-18 19:15,3930
2019-06-18 19:30,3900
2019-06-18 19:45,3890
2019-06-18 20:00,3930
2019-06-18 20:15,3790
2019-06-18 20:30,3870
2019-06-18 20:45,3860
2019-06-18 21:00,3920
2019-06-18 21:15,3860
2019-06-18 21:30,3870
2019-06-18 21:45,3810
2019-06-18 22:00,3890
2019-06-18 22:15,3890
2019-06-18 22:30,3870
2019-06-18 22:45,3860
2019-06-18 23:00,3800
2019-06-18 23:15,3860
2019-06-18 23:30,3830
2019-06-18 23:45,3840
2019-06-19 00:00,3870
2019-06-19 00:15,3840
2019-06-19 00:30,3800
2019-06-19 00:45,3830
2019-06-19 01:00,3770
2019-06-19 01:15,3770
2019-06-19 01:30,3800
2019-06-19 01:45,3770
2019-06-19 02:00,3780
2019-06-19 02:15,3810
2019-06-19 02:30,3800
2019-06-19 02:45,3750
2019-06-19 03:00,3810
2019-06-19 03:15,3770
2019-06-19 03:30,3770
2019-06-19 03:45,3780
2019-06-19 04:00,3730
2019-06-19 04:15,3730
2019-06-19 04:30,3740
2019-06-19 04:45,3750
2019-06-19 05:00,3750
2019-06-19 05:15,3730
2019-06-19 05:30,3770
2019-06-19 05:45,3720
2019-06-19 06:00,3750
2019-06-19 06:15,3740
2019-06-19 06:30,3740
2019-06-19 06:45,3750
2019-06-19 07:00,3700
2019-06-19 07:15,3670
2019-06-19 07:30,3670
2019-06-19 07:45,3680
2019-06-19 08:00,3680
2019-06-19 08:15,3680
2019-06-19 08:30,3610
2019-06-19 08:45,3650
2019-06-19 09:00,3680
2019-06-19 09:15,3670
2019-06-19 09:30,3700
2019-06-19 09:45,3670
2019-06-19 10:00,3650
2019-06-19 10:15,3690
2019-06-19 10:30,3670
2019-06-19 10:45,3720
2019-06-19 11:00,3650
2019-06-19 11:15,3690
2019-06-19 11:30,3670
2019-06-19 11:45,3710
2019-06-19 12:00,3710
2019-06-19 12:15,3740
2019-06-19 12:30,3690
2019-06-19 12:45,3740
2019-06-19 13:00,3720
2019-06-19 13:15,3770
2019-06-19 13:30,3740
2019-06-19 13:45,3720
2019-06-19 14:00,3770
2019-06-19 14:15,3740
2019-06-19 14:30,3770
2019-06-19 14:45,3800
2019-06-19 15:00,3750
2019-06-19 15:15,3710
2019-06-19 15:30,3750
2019-06-19 15:45,3810
2019-06-19 16:00,3780
2019-06-19 16:15,3780
2019-06-19 16:30,3810
2019-06-19 16:45,3800
2019-06-19 17:00,3780
2019-06-19 17:15,3830
2019-06-19 17:30,3780
2019-06-19 17:45,3800
2019-06-19 18:00,3780
2019-06-19 18:15,3780
2019-06-19 18:30,3770
2019-06-19 18:45,3740
2019-06-19 19:00,3740
2019-06-19 19:15,3690
2019-06-19 19:30,3750
2019-06-19 19:45,3780
2019-06-19 20:00,3770
2019-06-19 20:15,3710
2019-06-19 20:30,3720
2019-06-19 20:45,3720
2019-06-19 21:00,3720
2019-06-19 21:15,3720
2019-06-19 21:30,3710
2019-06-19 21:45,3720
2019-06-19 22:00,3740
2019-06-19 22:15,3640
2019-06-19 22:30,3710
